ID,Obverse Copyright,Obverse License,Obverse Picture,Reverse Copyright,Reverse License,Reverse Picture,Issuer
5133,Numismatica Quetzalcoatl (Gabriel Herrera),CC BY,https://en.numista.com/catalogue/photos/mexique/62ffca92945fb8.39281338-original.jpg,Numismatica Quetzalcoatl (Gabriel Herrera),CC BY,https://en.numista.com/catalogue/photos/mexique/62ffca92c2c5c0.30403078-original.jpg,Mexico
1505,tolnomur,CC BY-NC-SA,https://en.numista.com/catalogue/photos/suede/5f5bc2314244b6.50504347-original.jpg,tolnomur,CC BY-NC-SA,https://en.numista.com/catalogue/photos/suede/5f5bc2319ce0d4.41809394-original.jpg,Sweden
14270,tolnomur,CC BY-NC-SA,https://en.numista.com/catalogue/photos/guatemala/5ffee328cb1765.60778726-original.jpg,tolnomur,CC BY-NC-SA,https://en.numista.com/catalogue/photos/guatemala/5ffee3297fd752.67735232-original.jpg,Guatemala
161,1925collection,CC BY-NC-SA,https://en.numista.com/catalogue/photos/suisse/63b577d9924fa6.29921437-original.jpg,1925collection,CC BY-NC-SA,https://en.numista.com/catalogue/photos/suisse/63b577daaab0e1.99252659-original.jpg,Switzerland
4334,Rogbert,CC BY-NC,https://en.numista.com/catalogue/photos/bresil/641480e4c090b8.74684848-original.jpg,Rogbert,CC BY-NC,https://en.numista.com/catalogue/photos/bresil/641480e56f3343.55392252-original.jpg,Brazil
890,eze711cba,CC BY-NC-SA,https://en.numista.com/catalogue/photos/france/64111438a30ae6.07757107-original.jpg,eze711cba,CC BY-NC-SA,https://en.numista.com/catalogue/photos/france/6411143977c838.90220189-original.jpg,France
508,smy77,CC BY-NC-SA,https://en.numista.com/catalogue/photos/belgique/61cc2b11f32697.29698300-original.jpg,smy77,CC BY-NC-SA,https://en.numista.com/catalogue/photos/belgique/61cc2b12b2afc1.18945204-original.jpg,Belgium
3710,tolnomur,CC BY-NC-SA,https://en.numista.com/catalogue/photos/portugal/5f5557b5598d32.35540379-original.jpg,tolnomur,CC BY-NC-SA,https://en.numista.com/catalogue/photos/portugal/5f5557b5bda5d3.79125232-original.jpg,Portugal
4054,eze711cba,CC BY-NC-SA,https://en.numista.com/catalogue/photos/chili/641a4bb586bb22.57061211-original.jpg,eze711cba,CC BY-NC-SA,https://en.numista.com/catalogue/photos/chili/641a4bb61f2cc0.54796719-original.jpg,Chile
24854,Monéphil,CC BY-NC,https://en.numista.com/catalogue/photos/royaume-uni/4928-original.jpg,Monéphil,CC BY-NC,https://en.numista.com/catalogue/photos/royaume-uni/4929-original.jpg,United Kingdom
6599,gyoschak,CC BY-NC-SA,https://en.numista.com/catalogue/photos/finlande/62efb6793fff97.78196347-original.jpg,gyoschak,CC BY-NC-SA,https://en.numista.com/catalogue/photos/finlande/62efb679a6c935.77029252-original.jpg,Finland
2395,1925collection,CC BY-NC-SA,https://en.numista.com/catalogue/photos/italie/642d33b42e1f59.50930622-original.jpg,1925collection,CC BY-NC-SA,https://en.numista.com/catalogue/photos/italie/642d33b7480f20.43701324-original.jpg,Italy
12673,mr.ryujino116,CC BY-NC,https://en.numista.com/catalogue/photos/iraq/660ee77e824885.97429382-original.jpg,mr.ryujino116,CC BY-NC,https://en.numista.com/catalogue/photos/iraq/660ee77eab2e89.47251474-original.jpg,Iraq
35768,Paul M. Paquette,CC0,https://en.numista.com/catalogue/photos/afghanistan/588-original.jpg,Paul M. Paquette,CC0,https://en.numista.com/catalogue/photos/afghanistan/589-original.jpg,Afghanistan
14005,tolnomur,CC BY-NC-SA,https://en.numista.com/catalogue/photos/japon/5f5bf4fead5007.05218080-original.jpg,,CC BY-NC-SA,https://en.numista.com/catalogue/photos/japon/5f5bf4ff27f306.78728487-original.jpg,Japan
1914,Numista,CC BY,https://en.numista.com/catalogue/photos/allemagne-pre1945/16-original.jpg,Numista,CC BY,https://en.numista.com/catalogue/photos/allemagne-pre1945/15-original.jpg,Germany
37024,tolnomur,CC BY-NC-SA,https://en.numista.com/catalogue/photos/iran/5f4e016c631167.44536655-original.jpg,tolnomur,CC BY-NC-SA,https://en.numista.com/catalogue/photos/iran/5f4e016cf38e58.61553440-original.jpg,Iran
1405,Numista,CC BY,https://en.numista.com/catalogue/photos/irlande/385-original.jpg,Numista,CC BY,https://en.numista.com/catalogue/photos/irlande/386-original.jpg,Ireland
20845,masterguru,CC BY-SA,https://en.numista.com/catalogue/photos/turquie/6530399e4b6441.63867456-original.jpg,masterguru,CC BY-SA,https://en.numista.com/catalogue/photos/turquie/6530399eebcfb4.31191930-original.jpg,Turkey
25075,yvemax,CC BY,https://en.numista.com/catalogue/photos/egypte/737-original.jpg,yvemax,CC BY,https://en.numista.com/catalogue/photos/egypte/738-original.jpg,Egypt
9062,ciscoins,CC BY-NC,https://en.numista.com/catalogue/photos/perou/634ed2ddeb05e3.14390937-original.jpg,ciscoins,CC BY-NC,https://en.numista.com/catalogue/photos/perou/634ed2de2692f4.69604611-original.jpg,Peru
8805,Michass,CC BY-SA,https://en.numista.com/catalogue/photos/pologne/632b42bf65c387.69537111-original.jpg,Michass,CC BY-SA,https://en.numista.com/catalogue/photos/pologne/632b42bfa90ef2.20775974-original.jpg,Poland
5262,tolnomur,CC BY-NC-SA,https://en.numista.com/catalogue/photos/panama/5f52804c02c458.22475926-original.jpg,tolnomur,CC BY-NC-SA,https://en.numista.com/catalogue/photos/panama/5f52804c7cab87.82466466-original.jpg,Panama
18686,Ben-jamin,CC0,https://en.numista.com/catalogue/photos/ethiopie/662be26a9cd5a7.59879481-original.jpg,Ben-jamin,CC0,https://en.numista.com/catalogue/photos/ethiopie/662be26b9c9033.40162894-original.jpg,Ethiopia
7079,Ben-jamin,CC0,https://en.numista.com/catalogue/photos/israel/60ba9cce55fcc0.18293302-original.jpg,Ben-jamin,CC0,https://en.numista.com/catalogue/photos/israel/60ba9cceae8059.64553314-original.jpg,Israel
1658,Numista,CC BY,https://en.numista.com/catalogue/photos/malaisie/14-original.jpg,Numista,CC BY,https://en.numista.com/catalogue/photos/malaisie/13-original.jpg,Malaysia
6053,papilio,CC BY-NC-SA,https://en.numista.com/catalogue/photos/russie/62b34ee95d9538.05919415-original.jpg,papilio,CC BY-NC-SA,https://en.numista.com/catalogue/photos/russie/62b34ee9e19f17.55613334-original.jpg,Russia
2143,Numista,CC BY,https://en.numista.com/catalogue/photos/slovenie/332-original.jpg,Numista,CC BY,https://en.numista.com/catalogue/photos/slovenie/331-original.jpg,Slovenia
5037,Julio Vega,CC BY-NC-SA,https://en.numista.com/catalogue/photos/malawi/6580f18f49c339.79822318-original.jpg,Julio Vega,CC BY-NC-SA,https://en.numista.com/catalogue/photos/malawi/6580f190b66c04.82471174-original.jpg,Malawi
2294,tolnomur,CC BY-NC-SA,https://en.numista.com/catalogue/photos/afrique_du_sud/5f06542bd146a5.18310349-original.jpg,tolnomur,CC BY-NC-SA,https://en.numista.com/catalogue/photos/afrique_du_sud/5f06542c3c6e08.38974222-original.jpg,South Africa
1989,Numista,CC BY,https://en.numista.com/catalogue/photos/croatie/58-original.jpg,Numista,CC BY,https://en.numista.com/catalogue/photos/croatie/57-original.jpg,Croatia
2491,Ben-jamin,CC0,https://en.numista.com/catalogue/photos/croatie/5f120132328626.48918872-original.jpg,Ben-jamin,CC0,https://en.numista.com/catalogue/photos/croatie/5f120131df0472.07546910-original.jpg,Croatia
2156,Numista,CC BY,https://en.numista.com/catalogue/photos/republique_tcheque/13-original.jpg,Numista,CC BY,https://en.numista.com/catalogue/photos/republique_tcheque/14-original.jpg,Czech Republic
2485,Sjoelund,CC0,https://en.numista.com/catalogue/photos/slovaquie/62bdfbef28eec0.64183357-original.jpg,Sjoelund,CC0,https://en.numista.com/catalogue/photos/slovaquie/62bdfbefd31960.18719660-original.jpg,Slovakia
12246,tolnomur,CC BY-NC-SA,https://en.numista.com/catalogue/photos/thailande/5f048cea0585b3.72350807-original.jpg,tolnomur,CC BY-NC-SA,https://en.numista.com/catalogue/photos/thailande/5f048cea82bb46.59544467-original.jpg,Thailand
14561,tolnomur,CC BY-NC-SA,https://en.numista.com/catalogue/photos/danemark/5f4b7a082b7436.27506857-original.jpg,tolnomur,CC BY-NC-SA,https://en.numista.com/catalogue/photos/danemark/5f4b7a08c9e823.67121754-original.jpg,Denmark
6199,tolnomur,CC BY-NC-SA,https://en.numista.com/catalogue/photos/timor_oriental_period/6537e64bd97da1.51573056-original.jpg,tolnomur,CC BY-NC-SA,https://en.numista.com/catalogue/photos/timor_oriental_period/6537e64bdf1319.24425797-original.jpg,Timor-Leste
6727,Ben-jamin,CC0,https://en.numista.com/catalogue/photos/armenie/5f90fce13ce492.97421314-original.jpg,Ben-jamin,CC0,https://en.numista.com/catalogue/photos/armenie/5f90fce1a5f8d5.38728696-original.jpg,Armenia
6727,Ben-jamin,CC0,https://en.numista.com/catalogue/photos/armenie/5f90fce1a5f8d5.38728696-original.jpg,Ben-jamin,CC0,https://en.numista.com/catalogue/photos/armenie/5f90fce13ce492.97421314-original.jpg,Armenia
8490,Numista,CC BY,https://en.numista.com/catalogue/photos/honduras/109-original.jpg,Numista,CC BY,https://en.numista.com/catalogue/photos/honduras/110-original.jpg,Honduras
1222,Numista,CC BY,https://en.numista.com/catalogue/photos/chine/16-original.jpg,Numista,CC BY,https://en.numista.com/catalogue/photos/chine/17-original.jpg,China
4181,tolnomur,CC BY-NC-SA,https://en.numista.com/catalogue/photos/seychelles/5f56a01212e799.27308622-original.jpg,tolnomur,CC BY-NC-SA,https://en.numista.com/catalogue/photos/seychelles/5f56a012ed8e39.07593526-original.jpg,Seychelles
2274,Numista,CC BY,https://en.numista.com/catalogue/photos/swaziland_period/653ac43848b162.79489979-original.jpg,Numista,CC BY,https://en.numista.com/catalogue/photos/swaziland_period/653ac4385189b4.65444781-original.jpg,Eswatini
666,Monéphil,CC BY-NC,https://en.numista.com/catalogue/photos/bresil/1481-original.jpg,Monéphil,CC BY-NC,https://en.numista.com/catalogue/photos/bresil/1482-original.jpg,Brazil
301,Numista,CC BY,https://en.numista.com/catalogue/photos/croatie/793-original.jpg,Numista,CC BY,https://en.numista.com/catalogue/photos/croatie/792-original.jpg,Croatia
2105,tolnomur,CC BY-NC-SA,https://en.numista.com/catalogue/photos/viet_nam/5f48f90533f708.53360679-original.jpg,tolnomur,CC BY-NC-SA,https://en.numista.com/catalogue/photos/viet_nam/5f48f9058cbf13.53678242-original.jpg,Vietnam
3517,,CC0,https://en.numista.com/catalogue/photos/zambie/418-original.jpg,,CC0,https://en.numista.com/catalogue/photos/zambie/419-original.jpg,Zambia
195,stratocaster,CC BY-NC-SA,https://en.numista.com/catalogue/photos/suisse/5f9f2e59280182.12376495-original.jpg,stratocaster,CC BY-NC-SA,https://en.numista.com/catalogue/photos/suisse/5f9f2e5f148d34.55292533-original.jpg,Switzerland
13855,Numismatica Quetzalcoatl,CC BY,https://en.numista.com/catalogue/photos/mexique/63c103aea16356.88371709-original.jpg,Numismatica Quetzalcoatl,CC BY,https://en.numista.com/catalogue/photos/mexique/63c103af0c7b95.78573787-original.jpg,Mexico
1566,brismike,CC BY-NC,https://en.numista.com/catalogue/photos/australie/65c4cbb57eb274.30709594-original.jpg,brismike,CC BY-NC,https://en.numista.com/catalogue/photos/australie/65c4cbb6bf6869.92288849-original.jpg,Australia
171,stratocaster,CC BY-NC-SA,https://en.numista.com/catalogue/photos/suisse/5f9f2db303dd07.21719076-original.jpg,stratocaster,CC BY-NC-SA,https://en.numista.com/catalogue/photos/suisse/5f9f2db6937d19.06564382-original.jpg,Switzerland
1549,Numista,CC BY,https://en.numista.com/catalogue/photos/islande/23-original.jpg,Numista,CC BY,https://en.numista.com/catalogue/photos/islande/24-original.jpg,Iceland
7353,tolnomur,CC BY-NC-SA,https://en.numista.com/catalogue/photos/serbie/5f57a79be13f34.55851652-original.jpg,tolnomur,CC BY-NC-SA,https://en.numista.com/catalogue/photos/serbie/5f57a79c7c6a69.43111767-original.jpg,Serbia
6469,Dario Silva Collection,CC BY-NC,https://en.numista.com/catalogue/photos/lettonie/700-original.jpg,Dario Silva Collection,CC BY-NC,https://en.numista.com/catalogue/photos/lettonie/701-original.jpg,Latvia
2816,Numista,CC BY,https://en.numista.com/catalogue/photos/roumanie/322-original.jpg,Numista,CC BY,https://en.numista.com/catalogue/photos/roumanie/323-original.jpg,Romania
1678,Numista,CC BY,https://en.numista.com/catalogue/photos/indonesie/5-original.jpg,Numista,CC BY,https://en.numista.com/catalogue/photos/indonesie/6-original.jpg,Indonesia
1054,ciscoins,CC BY-NC,https://en.numista.com/catalogue/photos/cuba/635ef73cd79273.46530479-original.jpg,ciscoins,CC BY-NC,https://en.numista.com/catalogue/photos/cuba/635ef73d3fda46.87958690-original.jpg,Cuba
587,Numismatica Quetzalcoatl (Gabriel Herrera),CC BY,https://en.numista.com/catalogue/photos/mexique/6300876642c986.98360504-original.jpg,Numismatica Quetzalcoatl (Gabriel Herrera),CC BY,https://en.numista.com/catalogue/photos/mexique/6300876686b293.76761093-original.jpg,Mexico
2443,ciscoins,CC BY-NC,https://en.numista.com/catalogue/photos/perou/6350b3c3c65ea7.39225191-original.jpg,ciscoins,CC BY-NC,https://en.numista.com/catalogue/photos/perou/6350b3c4192901.39777077-original.jpg,Peru
2676,Rafael Pinheiro Aquino,CC BY-SA,https://en.numista.com/catalogue/photos/japon/5f83c3f71295f5.62993184-original.jpg,Rafael Pinheiro Aquino,CC BY-SA,https://en.numista.com/catalogue/photos/japon/5f83c3f6692c19.44022140-original.jpg,Japan
4497,Frenchlover,CC0,https://en.numista.com/catalogue/photos/kazakhstan/624ffb6a8bff14.19779452-original.jpg,Frenchlover,CC0,https://en.numista.com/catalogue/photos/kazakhstan/624ffb6bd60010.57918994-original.jpg,Kazakhstan
1689,Numista,CC BY,https://en.numista.com/catalogue/photos/iran/10-original.jpg,Numista,CC BY,https://en.numista.com/catalogue/photos/iran/9-original.jpg,Iran
3341,E. Timmermans,CC BY-NC-SA,https://en.numista.com/catalogue/photos/swaziland_period/653ac4373201e3.64182931-original.jpg,E. Timmermans,CC BY-NC-SA,https://en.numista.com/catalogue/photos/swaziland_period/653ac4373b7710.27518570-original.jpg,Eswatini
1450,Numista,CC BY,https://en.numista.com/catalogue/photos/norvege/13-original.jpg,Numista,CC BY,https://en.numista.com/catalogue/photos/norvege/14-original.jpg,Norway
2859,Numista,CC BY,https://en.numista.com/catalogue/photos/cuba/41-original.jpg,Numista,CC BY,https://en.numista.com/catalogue/photos/cuba/42-original.jpg,Cuba
2667,Numista,CC BY,https://en.numista.com/catalogue/photos/syrie/146-original.jpg,Numista,CC BY,https://en.numista.com/catalogue/photos/syrie/147-original.jpg,Syria
2667,Numista,CC BY,https://en.numista.com/catalogue/photos/syrie/147-original.jpg,Numista,CC BY,https://en.numista.com/catalogue/photos/syrie/146-original.jpg,Syria
8329,gyoschak,CC BY-NC-SA,https://en.numista.com/catalogue/photos/liban/62f06c793f3c11.37064231-original.jpg,gyoschak,CC BY-NC-SA,https://en.numista.com/catalogue/photos/liban/62f06c790645f0.37171708-original.jpg,Lebanon
4387,Ben-jamin,CC0,https://en.numista.com/catalogue/photos/burundi/5f87a976f19bf2.10186070-original.jpg,Ben-jamin,CC0,https://en.numista.com/catalogue/photos/burundi/5f87a976495c04.99212553-original.jpg,Burundi
1417,Ben-jamin,CC0,https://en.numista.com/catalogue/photos/danemark/62d0ae8a338006.03960192-original.jpg,Ben-jamin,CC0,https://en.numista.com/catalogue/photos/danemark/62d0ae89bef509.72430723-original.jpg,Denmark
808,Máté Bikfalvi,CC0,https://en.numista.com/catalogue/photos/hongrie/62dbe47370c0d4.75871323-original.jpg,Máté Bikfalvi,CC0,https://en.numista.com/catalogue/photos/hongrie/62dbe4748bd957.20313416-original.jpg,Hungary
809,Máté Bikfalvi,CC0,https://en.numista.com/catalogue/photos/hongrie/62dbe45cc808b6.00763386-original.jpg,Máté Bikfalvi,CC0,https://en.numista.com/catalogue/photos/hongrie/62dbe45bc91086.79680719-original.jpg,Hungary
12565,gyoschak,CC BY-NC-SA,https://en.numista.com/catalogue/photos/soudan/650ca585cd58e7.70925253-original.jpg,gyoschak,CC BY-NC-SA,https://en.numista.com/catalogue/photos/soudan/650ca586993f52.33787203-original.jpg,Sudan
2088,Numista,CC BY,https://en.numista.com/catalogue/photos/russie/33-original.jpg,Numista,CC BY,https://en.numista.com/catalogue/photos/russie/34-original.jpg,Russia
10247,Dario Silva Collection,CC BY-NC,https://en.numista.com/catalogue/photos/taiwan/286-original.jpg,Dario Silva Collection,CC BY-NC,https://en.numista.com/catalogue/photos/taiwan/287-original.jpg,Taiwan
13890,tolnomur,CC BY-NC-SA,https://en.numista.com/catalogue/photos/chine/5fd36f5f240ee4.18745588-original.jpg,tolnomur,CC BY-NC-SA,https://en.numista.com/catalogue/photos/chine/5fd36f5e6ad1d7.02891505-original.jpg,China
15885,Ben-jamin,CC0,https://en.numista.com/catalogue/photos/coree_du_nord/62c0777cf26b65.02703399-180.jpg,Ben-jamin,CC0,https://en.numista.com/catalogue/photos/coree_du_nord/62c0777d5cf181.76071523-original.jpg,North Korea
64483,Monéphil,CC BY-NC,https://en.numista.com/catalogue/photos/transnistrie/204-original.jpg,Monéphil,CC BY-NC,https://en.numista.com/catalogue/photos/transnistrie/203-original.jpg,Transnistria
1554,albinh,CC BY-NC-SA,https://en.numista.com/catalogue/photos/transnistrie/62e11cac5e9301.87770102-180.jpg,albinh,CC BY-NC-SA,https://en.numista.com/catalogue/photos/transnistrie/62e11cac2fe340.18627392-original.jpg,Transnistria
4748,Eagle68,CC BY-NC,https://en.numista.com/catalogue/photos/moldavie/5fd3791ae16865.54691445-180.jpg,Eagle68,CC BY-NC,https://en.numista.com/catalogue/photos/moldavie/5fd3791b5390f7.56525497-180.jpg,Moldova
216912,apuking,CC BY-SA,https://en.numista.com/catalogue/photos/coree_du_nord/5ec6a8c25f1b57.55829400-180.jpg,apuking,CC BY-SA,https://en.numista.com/catalogue/photos/coree_du_nord/5ec6a8c22622d1.18325558-180.jpg,North Korea
